gene,tissue,trait,zscore,pvalue,n_snps_model,n_snps_matched
MFAP1,Whole_Blood,DPN,-1.1947,0.23221619562343793,1,1
PAM,Whole_Blood,DPN,-1.4359,0.15101724599982125,1,1
PCBP2,Whole_Blood,DPN,0.5974,0.5502442477925433,1,1
PDIA3,Whole_Blood,DPN,1.0609,0.2887526112503289,2,2
PDIA6,Whole_Blood,DPN,0.1549,0.8769380313527677,1,1
PNN,Whole_Blood,DPN,-8.8228,1.1158734805202415e-18,2,2
PPARG,Whole_Blood,DPN,-6.3268,2.5028712727467755e-10,1,1
PUF60,Whole_Blood,DPN,1.3391,0.18055358267133415,1,1
RNH1,Whole_Blood,DPN,6.358,2.043937448983478e-10,3,3
RPL10A,Whole_Blood,DPN,-52.7198,0.0,3,2
RPL14,Whole_Blood,DPN,-1.3889,0.1648771724671104,2,2
RPL27A,Whole_Blood,DPN,-0.9429,0.3457135244550097,2,2
RPL5,Whole_Blood,DPN,0.5513,0.5813983398214557,1,1
RPL8,Whole_Blood,DPN,-2.1896,0.028555195709086354,2,1
RPLP0,Whole_Blood,DPN,2.1893,0.02857278813873451,2,2
RPN1,Whole_Blood,DPN,2.7169,0.006589995862347003,2,1
RPS14,Whole_Blood,DPN,0.4945,0.62096918945536,3,2
RPS16,Whole_Blood,DPN,2.1793,0.029311801001193946,1,1
RPS18,Whole_Blood,DPN,9.9744,1.9719230854898296e-23,2,2
RPS25,Whole_Blood,DPN,-2.0214,0.04324292469404562,2,2
RPS8,Whole_Blood,DPN,2.7498,0.005963268853553874,1,1
RRBP1,Whole_Blood,DPN,-0.3309,0.7407046412918025,2,2
ST6GAL1,Whole_Blood,DPN,-2.4228,0.01540263245597525,1,1
TUBB,Whole_Blood,DPN,1.1674,0.24305701535092675,1,1
UBA52,Whole_Blood,DPN,-2.6012,0.009289091309594108,2,2
VCP,Whole_Blood,DPN,-3.2684,0.00108171109609056,2,2
XRCC5,Whole_Blood,DPN,5.3291,9.869580411336758e-08,3,3
XRCC6,Whole_Blood,DPN,-8.2889,1.1428551667581343e-16,2,2
YWHAQ,Whole_Blood,DPN,1.1234,0.26124990318479424,1,1
