gene,trait,p_acat,n_tissues,in_both
COG7,DR,0.0008795063023151363,2,True
COMMD7,DN,0.15287444359523772,1,True
COMMD7,DPN,0.2241550179951186,1,True
COMMD7,DR,0.17561168424565826,1,True
COMT,DN,2.4672878661374535e-08,1,True
COMT,DPN,0.0006761562877663295,1,True
COMT,DR,4.0723805120890894e-13,1,True
COPA,DN,1.0,2,True
COPA,DPN,0.26214476456714475,2,True
COPA,DR,1.0,2,True
COPE,DN,0.0010673349997957341,2,True
COPE,DPN,0.001465543112761786,2,True
COPE,DR,0.14613375074135998,2,True
COPG1,DN,1.3339299628990626e-65,1,False
COPG1,DPN,2.531108727084054e-75,1,False
COPG1,DR,0.0003154116232055523,1,False
COPS6,DN,1.259705932237429e-107,1,True
COPS6,DPN,3.4971104270566378e-15,1,True
COPS6,DR,6.990372689211563e-21,1,True
COQ5,DN,0.0011300588087765583,2,True
COQ5,DPN,1.0979518325588233e-09,2,True
COQ5,DR,9.585719828077086e-14,2,True
COX15,DN,6.87688424814056e-06,2,True
COX15,DPN,9.553997626953296e-16,2,True
COX15,DR,0.003025798513750559,2,True
COX17,DN,1.0165926979402947e-07,2,True
COX17,DPN,0.00800331913117788,2,True
COX17,DR,2.4798430453376927e-165,2,True
CREBBP,DN,2.272545621728965e-16,2,True
CREBBP,DPN,0.044608472794670645,2,True
CREBBP,DR,0.4308541811857006,2,True
CRK,DN,0.9304306131298616,1,True
CRK,DPN,8.180100877252604e-09,1,True
CRK,DR,2.6131807110747393e-17,1,True
CRTC3,DN,1.6788597966955634e-05,2,True
CRTC3,DPN,2.09929275453272e-31,2,True
CRTC3,DR,1.6565145224299384e-41,2,True
CSNK1A1,DN,2.0844469013305734e-05,2,True
CSNK1A1,DPN,0.2141265733292912,2,True
CSNK1A1,DR,0.02705339831703562,2,True
CSNK1D,DN,0.3236015033143504,2,True
CSNK1D,DPN,5.527938020082933e-06,2,True
CSNK1D,DR,0.00797566682035439,2,True
CSNK2A2,DN,9.510827081674835e-08,2,True
CSNK2A2,DPN,4.108871850381279e-07,2,True
CSNK2A2,DR,6.506197411841345e-25,2,True
CSNK2B,DN,2.1868913180202696e-17,2,True
CSNK2B,DPN,1.0014199325176418e-13,2,True
CSNK2B,DR,8.824676511174774e-72,2,True
CTBP1,DN,0.01034936784836662,2,True
CTBP1,DPN,1.0,2,True
CTBP1,DR,3.341407039794642e-05,2,True
CTDNEP1,DN,0.004215068911953686,2,True
CTDNEP1,DPN,1.0,2,True
CTDNEP1,DR,0.3128520957187571,2,True
CTNNB1,DN,0.07076290799704893,2,True
CTNNB1,DPN,0.018775016972895266,2,True
CTNNB1,DR,1.0,2,True
CTNNBL1,DN,5.21372796907044e-107,1,False
CTNNBL1,DPN,0.08702872728094872,1,False
CTNNBL1,DR,2.1192353883187943e-07,1,False
CUL1,DN,1.0,2,True
CUL1,DPN,0.003012696903775033,2,True
CUL1,DR,0.006948069757528849,2,True
CUL3,DN,0.0013032012156904802,2,True
CUL3,DPN,0.34092512365716254,2,True
CUL3,DR,0.06810609008809637,2,True
CUTA,DN,4.355999379394533e-39,1,False
CUTA,DPN,1.1622258413116133e-112,1,False
CUTA,DR,1.9096905866853162e-17,1,False
CYB5B,DN,0.08392291629332498,2,True
CYB5B,DPN,0.0018322433468941973,2,True
CYB5B,DR,0.0005738474598451064,2,True
DAD1,DN,2.1822141981788752e-06,2,True
DAD1,DPN,0.0029719374909948954,2,True
DAD1,DR,9.602034587832536e-12,2,True
DAP3,DN,0.0006100011177770408,1,False
DAP3,DPN,0.19977536743214455,1,False
DAP3,DR,7.0951359837026785e-12,1,False
DARS,DN,2.7574288627420786e-21,2,True
DARS,DPN,1.6540396802613526e-07,2,True
DARS,DR,2.0360819627126747e-69,2,True
DCAF12,DN,0.00016968200338994492,1,False
DCAF12,DPN,1.0824775007497009e-05,1,False
DCAF12,DR,6.14590163757973e-07,1,False
DCAF15,DN,0.08488387838491032,2,True
DCAF15,DPN,0.042869660945017915,2,True
DCAF15,DR,1.0,2,True
DCTN2,DN,0.06251715767292308,2,True
DCTN2,DPN,4.985972265458507e-10,2,True
DCTN2,DR,0.00010180195218297812,2,True
DCTN4,DN,3.600147537400029e-14,2,True
DCTN4,DPN,0.0019967072634778853,2,True
DCTN4,DR,0.20267653313498366,2,True
DEAF1,DN,0.001151131402500762,2,True
DEAF1,DPN,1.0,2,True
DEAF1,DR,0.00920910259227452,2,True
DENND6A,DN,0.32729529341928754,2,True
DENND6A,DPN,9.595743386840646e-51,2,True
DENND6A,DR,8.008147948819227e-28,2,True
DERL1,DN,0.538546224704878,1,False
DERL1,DPN,0.3100847365028336,1,False
DERL1,DR,0.4553976707158775,1,False
DNAJA1,DN,0.015001397624731084,2,True
DNAJA1,DPN,0.0004632045451648327,2,True
DNAJA1,DR,0.1976808787723703,2,True
DNAJA2,DN,5.2575348857180856e-17,2,True
DNAJA2,DPN,0.029135247564100356,2,True
DNAJA2,DR,8.629242427875565e-06,2,True
DNAJA3,DN,0.03334335773055244,2,True
DNAJA3,DPN,3.4637937305749957e-07,2,True
DNAJA3,DR,1.413223851613382e-09,2,True
DNAJB6,DN,0.001453514240616004,2,True
