gene,trait,grp,z_Nerve_Tibial,z_Whole_Blood,n_snps_matched_NT,n_snps_matched_WB,p_ACAT_O,n_tissues,z_ACAT_O
GCKR,DN,30 T2DM Control,9.5787,9.5787,1.0,1.0,4.913703406868046e-22,2,9.65003900991923
GCKR,DPN,30 T2DM Control,-3.9335,-3.9335,1.0,1.0,4.185892020649532e-05,2,-4.096972170594762
GCKR,DR,30 T2DM Control,7.2518,7.2518,1.0,1.0,2.056344408160481e-13,2,7.3450810572871585
GNA13,DN,44 Non-Candidate,,-6.4415,,1.0,1.1829844925160717e-10,1,-6.4415
GNA13,DPN,44 Non-Candidate,,3.9429,,1.0,8.050222787722865e-05,1,3.942899999999999
GNA13,DR,44 Non-Candidate,,-6.9307,,1.0,4.187632660446648e-12,1,-6.9307
GOLGA3,DN,HK_v2,-7.9371,2.3852,3.0,2.0,2.0696318467157174e-15,2,-7.937100000000013
GOLGA3,DPN,HK_v2,2.8409,1.1274,3.0,2.0,0.0044395665974642255,2,2.845113031870505
GOLGA3,DR,HK_v2,-15.5428,-3.3877,3.0,2.0,1.7803194041577192e-54,2,-15.5428
GRB14,DN,30 T2DM Control,-0.9399,7.0874,1.0,1.0,1.3665497912291703e-12,2,-7.087400000000308
GRB14,DPN,30 T2DM Control,1.5633,-6.2231,1.0,1.0,4.874264792188956e-10,2,6.223100000617968
GRB14,DR,30 T2DM Control,-0.618,3.2408,1.0,1.0,0.001192463139543691,2,-3.240676766313035
H2AFV,DN,30 HOTAIR Candidate,-6.3427,-3.219,2.0,2.0,2.257727797656835e-10,2,-6.342700027028965
H2AFV,DPN,30 HOTAIR Candidate,3.3723,0.0976,2.0,2.0,0.0007525026200258482,2,3.3696992623347732
H2AFV,DR,30 HOTAIR Candidate,1.4177,1.8663,2.0,2.0,0.04555596077490255,2,1.999484467717462
HHEX,DN,30 T2DM Control,1.1674,1.1705,1.0,1.0,0.14160700632547807,2,1.4698329366651182
HHEX,DPN,30 T2DM Control,2.8637,2.8636,1.0,1.0,0.002094042960229525,2,3.076559797919283
HHEX,DR,30 T2DM Control,2.0459,2.0459,1.0,1.0,0.020467030556967927,2,2.317674267345459
HNRNPA3,DN,30 HOTAIR Candidate,10.8347,,1.0,,2.3573682017515116e-27,1,10.834699999999998
HNRNPA3,DPN,30 HOTAIR Candidate,2.9942,,1.0,,0.0027516550804027244,1,2.9942
HNRNPA3,DR,30 HOTAIR Candidate,3.3783,,1.0,,0.0007293546485795362,1,3.3782999999999994
HSP90AB1,DN,30 HOTAIR Candidate,24.8976,1.7638,3.0,2.0,7.899072605206586e-137,2,24.897599999999997
HSP90AB1,DPN,30 HOTAIR Candidate,10.9345,-1.7674,3.0,2.0,7.883937752021312e-28,2,10.9345
HSP90AB1,DR,30 HOTAIR Candidate,3.8845,-1.3859,3.0,2.0,0.00010248314014163499,2,3.884636410925782
HSP90B1,DN,30 HOTAIR Candidate,,6.8908,,1.0,5.547949333450333e-12,1,6.890799999999999
HSP90B1,DPN,30 HOTAIR Candidate,,4.5238,,1.0,6.073912327940985e-06,1,4.5238
HSP90B1,DR,30 HOTAIR Candidate,,-0.0995,,1.0,0.9207412879008579,1,-0.0994999999999999
HSPB1,DN,44 Non-Candidate,,3.7658,,2.0,0.000166016649035787,1,3.7657999999999996
HSPB1,DPN,44 Non-Candidate,,2.113,,2.0,0.03460076788107839,1,2.1129999999999995
HSPB1,DR,44 Non-Candidate,,4.4436,,2.0,8.84660093881585e-06,1,4.4436
HSPD1,DN,44 Non-Candidate,,-1.6072,,1.0,0.10801050205165373,1,-1.6071999999999997
HSPD1,DPN,44 Non-Candidate,,-0.9007,,1.0,0.36774784869302574,1,-0.9006999999999998
HSPD1,DR,44 Non-Candidate,,-0.008,,1.0,0.9936169915990727,1,-0.007999999999999879
JAZF1,DN,30 T2DM Control,2.0074,-1.4627,2.0,2.0,0.03469544488359062,2,2.1118951336429204
JAZF1,DPN,30 T2DM Control,0.2166,-0.8571,2.0,2.0,1.0,2,1.8669045833583425e-59
