gene,ensg,trait,zscore,pvalue,n_snps_model,n_snps_matched,n_dropped,grp
PSMC1,ENSG00000100764,DN,1.1638,0.24451263663827152,159,155,4,HK_v2
PUF60,ENSG00000179950,DN,-5.6169,1.9443651361951244e-08,20,20,0,NonCandidate
RABGGTB,ENSG00000137955,DN,2.3045,0.02119183808170933,1238,1150,88,HK_v2
RBX1,ENSG00000100387,DN,,,0,0,0,HK_v2
RNF181,ENSG00000168894,DN,-1.0416,0.29758292128181807,155,150,5,HK_v2
RNH1,ENSG00000023191,DN,6.8867,5.711247577172538e-12,898,726,172,Candidate
RNPS1,ENSG00000205937,DN,0.2126,0.8316770657867404,261,246,15,HK_v2
RPL10A,ENSG00000198755,DN,5.203,1.9612620731024334e-07,1460,1408,52,NonCandidate
RPL13,ENSG00000167526,DN,-0.7879,0.4307417790151459,2059,1782,277,Excluded_NonTestbed
RPL13A,ENSG00000142541,DN,-7.6972,1.3911778861311635e-14,629,575,54,Candidate
RPL14,ENSG00000188846,DN,-0.8988,0.3687737905533427,1441,1335,106,NonCandidate
RPL17,ENSG00000265681,DN,-5.5993,2.1525310874421634e-08,1352,1258,94,Excluded_NonTestbed
RPL27A,ENSG00000166441,DN,2.6767,0.007435635483424155,901,859,42,NonCandidate
RPL5,ENSG00000122406,DN,,,0,0,0,Candidate
RPL7A,ENSG00000148303,DN,7.6991,1.3706354922608836e-14,1,1,0,Excluded_NonTestbed
RPL8,ENSG00000161016,DN,0.8589,0.3903821050444562,1349,1235,114,Candidate
RPLP0,ENSG00000089157,DN,6.2235,4.862068049138811e-10,133,126,7,Candidate
RPN1,ENSG00000163902,DN,1.1368,0.2556312398988478,929,865,64,NonCandidate
RPS13,ENSG00000110700,DN,-0.3044,0.7607903248890489,145,136,9,Candidate
RPS14,ENSG00000164587,DN,1.1861,0.23558731182435516,208,197,11,Candidate
RPS16,ENSG00000105193,DN,-1.6352,0.10200392446139388,406,386,20,Candidate
RPS18,ENSG00000231500,DN,6.7336,1.655456939138428e-11,992,379,613,Candidate
RPS25,ENSG00000118181,DN,-0.3388,0.734787305079256,182,174,8,Candidate
RPS3,ENSG00000149273,DN,-0.2605,0.7944471721280439,26,25,1,Candidate
RPS3A,ENSG00000145425,DN,-1.9969,0.045835294029285455,793,750,43,NonCandidate
RPS8,ENSG00000142937,DN,5.9686,2.393632279747577e-09,1541,1424,117,NonCandidate
RPSA,ENSG00000168028,DN,5.1867,2.1402130538295035e-07,505,475,30,Candidate
RRBP1,ENSG00000125844,DN,-7.6399,2.1733988503205616e-14,576,562,14,NonCandidate
SDF4,ENSG00000078808,DN,7.4528,9.135897932627145e-14,575,502,73,HK_v2
SDHAF2,ENSG00000167985,DN,-5.9051,3.5240165129452642e-09,17,17,0,HK_v2
SEC13,ENSG00000157020,DN,0.6328,0.526878303964218,1420,1317,103,HK_v2
SERPINB9,ENSG00000170542,DN,,,909,0,909,NonCandidate
SERPINH1,ENSG00000149257,DN,-2.7494,0.005969740013110106,461,447,14,Excluded_NonTestbed
SF3B4,ENSG00000143368,DN,,,0,0,0,HK_v2
SLC16A11,ENSG00000174326,DN,-1.0326,0.30181022580508104,59,53,6,T2DM_Control
SPRYD3,ENSG00000167778,DN,-0.868,0.3853780478859668,392,372,20,HK_v2
SRM,ENSG00000116649,DN,5.5195,3.399730209751918e-08,39,39,0,HK_v2
ST6GAL1,ENSG00000073849,DN,-2.1131,0.03458967479261263,669,612,57,T2DM_Control
STX4,ENSG00000103496,DN,-3.0899,0.002002145616960965,1112,1025,87,HK_v2
TCF7L2,ENSG00000148737,DN,-0.6037,0.546045167507291,285,266,19,T2DM_Control
TOMM20,ENSG00000173726,DN,-0.2331,0.8156681231144871,252,238,14,HK_v2
TPM4,ENSG00000167460,DN,0.5717,0.5674939139191206,125,123,2,Excluded_NonTestbed
TRIP12,ENSG00000153827,DN,0.717,0.47334939228535167,538,506,32,HK_v2
TUBB,ENSG00000196230,DN,40.3111,0.0,1848,359,1489,Candidate
TUT1,ENSG00000149016,DN,2.2122,0.02695248970355653,106,99,7,HK_v2
U2AF2,ENSG00000063244,DN,-5.9062,3.5017614517132434e-09,98,95,3,HK_v2
UBA52,ENSG00000221983,DN,-2.6782,0.0074023144735974045,674,619,55,NonCandidate
