Gene,Trait,Tissue,Group,Z_eQTLGen,P_eQTLGen,n_SNPs_Model,n_SNPs_Matched
RPN1,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-7.2651,3.7259084706420253e-13,785,737
ST6GAL1,DPN,eQTLGen_Whole_Blood,30_T2DM_Control,4.3389,1.4319482115165982e-05,540,515
ANXA5,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-3.3682,0.0007565217451901418,1176,1108
RPS3A,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-6.5186,7.096478960022523e-11,515,490
PAM,DPN,eQTLGen_Whole_Blood,30_T2DM_Control,-22.8895,0.0,4665,4477
RPS14,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,5.5889,2.2856937231807706e-08,149,144
RREB1,DPN,eQTLGen_Whole_Blood,30_T2DM_Control,23.8107,0.0,355,338
CDKAL1,DPN,eQTLGen_Whole_Blood,30_T2DM_Control,-3.2592,0.0011171371001024166,517,502
TUBB,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,29.4687,0.0,830,146
RPS18,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,7.8392,4.440892098500626e-15,511,156
RPL10A,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-7.3886,1.4832579608992091e-13,924,909
HSP90AB1,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-0.1448,0.8848692522713342,1,1
ACTB,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,0.2221,0.8242221508022682,2,2
JAZF1,DPN,eQTLGen_Whole_Blood,30_T2DM_Control,1.1019,0.2705027678450125,649,622
GCK,DPN,eQTLGen_Whole_Blood,30_T2DM_Control,0.1726,0.8629692071926534,51,50
H2AFV,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,0.6687,0.5036957414163592,197,186
EIF4H,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-3.079,0.002077276068954692,144,139
HSPB1,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,5.3341,9.60296233643021e-08,226,222
PABPC1,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-8.4138,0.0,147,142
PUF60,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,0.6117,0.5407211472717957,7,7
RPL8,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-10.19,0.0,1052,976
VCP,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,2.9939,0.002754500179308561,796,763
ANXA1,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,1.8416,0.06552968736564235,1227,1197
CAMK1D,DPN,eQTLGen_Whole_Blood,30_T2DM_Control,3.5025,0.0004609872095282519,951,914
HHEX,DPN,eQTLGen_Whole_Blood,30_T2DM_Control,-10.6626,0.0,996,954
RNH1,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,9.7761,0.0,714,587
DUSP8,DPN,eQTLGen_Whole_Blood,30_T2DM_Control,-1.2759,0.20198973197888015,201,195
RPL27A,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,3.6551,0.0002571251034588773,641,623
RPS13,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,2.4,0.016393005960871676,30,28
KCNJ11,DPN,eQTLGen_Whole_Blood,30_T2DM_Control,-6.0571,1.3862011538634533e-09,330,321
